	SRR5440795.trimmed.Athaliana.bam	SRR5440804.trimmed.Athaliana.bam	SRR5440813.trimmed.Athaliana.bam	SRR5440822.trimmed.Athaliana.bam	SRR5440831.trimmed.Athaliana.bam	SRR5440840.trimmed.Athaliana.bam
AT1G04190	542	657	458	747	841	1023
AT1G04200	928	1128	918	559	493	798
AT1G04210	1314	1514	1148	1580	1869	2790
AT1G04220	827	883	642	241	191	391
AT1G04247	607	686	483	166	124	282
AT1G04230	412	438	374	276	316	425
AT1G04240	237	234	240	137	165	224
AT1G04253	0	0	0	0	0	0
AT1G04250	609	557	477	233	163	307
AT1G04260	440	471	423	408	402	493
AT1G04270	4491	5192	4159	5594	5661	7608
AT1G04280	1652	1395	1208	1092	925	1689
AT1G04290	412	434	323	313	276	361
AT1G04295	379	399	298	301	263	330
AT1G04300	2380	2570	2217	1779	2029	2922
AT1G04310	671	768	551	234	297	471
AT1G04320	0	0	0	0	0	0
AT1G04330	45	46	42	12	22	19
AT1G04340	353	420	332	303	335	473
AT1G04350	901	1021	859	516	368	579
AT1G04360	79	89	76	90	65	117
AT1G04370	9	13	11	4	7	5
AT1G04380	3	4	3	1	8	6
AT1G04257	0	0	0	0	0	0
AT1G04390	350	368	270	198	220	296
AT1G04400	3437	3858	3001	1707	1634	2346
AT1G04410	13855	16570	13224	18282	15924	25893
AT1G04420	409	443	421	336	354	323
AT1G04425	54	40	40	13	36	25
AT1G04430	1913	2233	1989	1761	1864	3080
AT1G04440	1269	1187	985	881	823	1236
AT1G04445	1	3	0	3	1	5
AT1G04450	0	0	0	0	0	0
AT1G04455	0	0	0	0	0	0
AT1G04470	0	0	0	0	0	0
AT1G04263	2	0	1	1	2	0
AT1G04480	2012	2355	1792	3637	3584	4648
AT1G04267	7	7	10	9	12	23
AT1G04273	14	14	10	26	25	24
AT1G04277	17	21	13	26	26	29
AT1G04490	111	139	110	58	97	190
AT1G04500	16	26	17	14	20	33
AT1G04510	981	1174	990	1124	1236	1667
AT1G04520	205	280	244	347	373	360
AT1G04530	1503	1608	1438	850	745	1077
AT1G04540	78	94	89	54	59	73
AT1G04550	414	537	396	360	333	509
AT1G04555	204	204	197	138	128	192
AT1G04560	0	0	0	2	0	0
AT1G04570	82	215	123	35	49	91
AT1G04580	92	194	56	75	108	185
AT1G04590	310	290	288	349	417	455
AT1G04600	55	93	51	50	40	55
AT1G04610	6	8	2	1	10	10
AT1G04620	45	64	49	27	26	34
AT1G04625	42	41	33	39	32	42
AT1G04630	492	557	464	504	466	588
AT1G04635	25	42	41	90	81	110
AT1G04640	177	182	176	138	129	145
AT1G04645	0	2	1	0	1	3
AT1G04650	40	38	32	36	45	42
AT1G04283	0	0	0	0	0	0
AT1G04660	8	60	65	74	51	36
AT1G04670	0	0	1	0	0	0
AT1G04680	1048	1340	1350	907	624	997
AT1G04690	3715	4669	3599	2919	2363	4193
AT1G04700	59	86	50	27	27	44
AT1G04710	450	502	479	351	318	448
AT1G04720	0	0	0	0	0	0
AT1G04730	73	86	99	86	105	93
AT1G04750	2475	2936	2238	1768	1649	2502
AT1G04287	0	0	0	0	0	0
AT1G04760	177	149	148	343	292	328
AT1G04770	476	486	497	1029	922	1157
AT1G04778	14	4	8	3	1	3
AT1G04780	2905	3284	2521	2153	2311	3767
AT1G04790	1756	2332	1871	2413	1794	2793
AT1G04800	2215	2914	2470	3086	2090	3501
AT1G04810	1615	2029	1641	1275	1189	1909
AT1G04820	5933	6896	6458	5702	5845	6779
AT1G04830	433	468	381	279	273	448
AT1G04840	33	39	33	18	32	41
AT1G04850	3506	4061	3265	3010	2719	3905
AT1G04860	916	1010	788	1047	1096	1751
AT1G04870	670	787	636	1305	1288	2029
